ID,ROA(A),ROA(B),ROA(C),Operating Gross Margin,Realized Sales Gross Margin,Cash flow rate,Tax rate (A),Net Value Per Share (B),Net Value Per Share (A),Net Value Per Share (C),Persistent EPS in the Last Four Seasons,Cash Flow Per Share,Operating Profit Per Share,Per Share Net profit before tax,Debt ratio %,Net worth/Assets,Operating profit/Paid-in capital,Net profit before tax/Paid-in capital,Operating profit per person,Working Capital to Total Assets,Cash/Total Assets,Current Liability to Assets,Retained Earnings to Total Assets,Total expense/Assets,CFO to Assets,Current Liability to Current Assets,Operating Funds to Liability,Net Income to Total Assets,Gross Profit to Sales,Equity to Liability,Bankrupt?
0,0.4243894461,0.4057497725,0.3705942573,0.6014572133,0.6014572133,0.4581431435,0,0.1479499389,0.1479499389,0.1479499389,0.1691405881,0.3116644267,0.09592052764,0.1387361603,0.2075762615,0.7924237385,0.09588483398,0.1377573335,0.3929128695,0.6727752925,0.004094405952,0.1473084504,0.9032247712,0.06485570769,0.5203819179,0.1182504766,0.3340151713,0.7168453432,0.6014532901,0.01646874091,1
1,0.53821413,0.5167300177,0.4642909375,0.6102350855,0.6102350855,0.4618672572,0,0.182251064,0.182251064,0.182251064,0.208943935,0.3181368041,0.09372200961,0.1699179031,0.1711763461,0.8288236539,0.0937433843,0.1689616168,0.3915899686,0.751110917,0.01494772697,0.05696282742,0.9310652176,0.02551586,0.5671013087,0.04777528159,0.341105992,0.795297136,0.6102365259,0.02079430633,1
2,0.4990187527,0.4722950907,0.4260712719,0.6014500065,0.601363525,0.4585205875,0,0.1779107497,0.1779107497,0.193712865,0.1805805049,0.3071019311,0.09233775751,0.1428033441,0.2075157965,0.7924842035,0.09231846532,0.1480355931,0.3819678433,0.8295019149,0.0009909444511,0.09816206454,0.9099033625,0.02138742823,0.5384905396,0.02534648913,0.3367314947,0.774669697,0.6014493405,0.01647411433,1
3,0.4512647187,0.4577332834,0.3998440014,0.5835411292,0.5835411292,0.4657054427,0,0.1541865071,0.1541865071,0.1541865071,0.1937222275,0.3216736224,0.0777623972,0.148602847,0.151464764,0.848535236,0.07772729493,0.1475605158,0.3784966419,0.7257541797,0.01885062483,0.09871463045,0.9069021588,0.02416107017,0.6041050562,0.06724961726,0.348716439,0.7395545252,0.5835376122,0.02398233221,1
4,0.5384321849,0.5222977675,0.4650221811,0.5987834936,0.5987834936,0.4627462822,0,0.167502423,0.167502423,0.167502423,0.2125366361,0.3191624814,0.09689764677,0.1684115388,0.1065090546,0.8934909454,0.09692706043,0.1674609758,0.3943714525,0.7518224525,0.01416097375,0.1101948459,0.9138501975,0.02638524565,0.5784689032,0.04772537176,0.3446387536,0.7950158726,0.5987815099,0.03549020088,1
5,0.4151766245,0.4191337866,0.388680349,0.5901713775,0.5902506522,0.4658614529,0,0.1555770933,0.1555770933,0.1555770933,0.174435095,0.3253872816,0.07808810357,0.1388114785,0.1804274874,0.8195725126,0.07810184507,0.1378252017,0.3775694806,0.6867286462,0.002645225643,0.1390021064,0.9030412671,0.04009362198,0.6221901234,0.09952193311,0.3505631468,0.7104204951,0.5901723267,0.01953447783,1
6,0.4457043175,0.4361582526,0.3909228294,0.6199498407,0.6199498407,0.4610201052,0,0.1588217943,0.1588217943,0.1588217943,0.1614824619,0.3166867086,0.09991043075,0.1289447917,0.216101823,0.783898177,0.09986646474,0.1279390695,0.3931729269,0.7294164622,0.02298859798,0.1159204117,0.9114414078,0.09280230659,0.5606529996,0.06076512479,0.3400805369,0.7366190977,0.6199488672,0.01566307465,0
7,0.5709223724,0.5590770384,0.5083605518,0.6017382782,0.6017166578,0.4670239803,0.1576070452,0.1769836922,0.1769836922,0.1769836922,0.2252056349,0.324114027,0.1047960264,0.1804624539,0.1082020739,0.8917979261,0.1047844708,0.17951889,0.3964632188,0.7970052139,0.0146159134,0.08704180113,0.9354493092,0.02548215277,0.6100908116,0.03020110459,0.3535106152,0.8153503925,0.60173934,0.03488855618,0
8,0.5451373746,0.5432839017,0.4885194755,0.603612044,0.603612044,0.4631421789,0.005871039579,0.1841894568,0.1841894568,0.1841894568,0.2183984116,0.3187734314,0.0951876883,0.1731565866,0.05859056142,0.9414094386,0.09520901526,0.1721589624,0.3919404808,0.8137375229,0.1451892177,0.05805972841,0.9352002093,0.02988406107,0.5740327853,0.02171046145,0.3454408186,0.8036472898,0.6036134511,0.06582649747,0
9,0.5509158308,0.5429626854,0.4956856628,0.5992086943,0.5992086943,0.4705753085,0.3924486284,0.1774472209,0.1774472209,0.1774472209,0.217831143,0.3301619863,0.1098444752,0.1766212247,0.1212927412,0.8787072588,0.1098734672,0.1756579443,0.3963727641,0.8256958707,0.008772790915,0.09456330283,0.9382898968,0.03589106198,0.6451462861,0.02549430196,0.3610435404,0.8041946565,0.5992050741,0.03080086509,0
10,0.5675425207,0.5381979763,0.4824745283,0.614025858,0.614025858,0.4648180301,0,0.1829252876,0.1829252876,0.1829252876,0.2189656802,0.3191624814,0.0964905138,0.1785794984,0.1035765033,0.8964234967,0.09647108636,0.1776110399,0.3927545736,0.7512043429,0.002056836237,0.03208680276,0.9428289562,0.02880240075,0.5748456831,0.04716634801,0.3436799079,0.8141106143,0.6140211929,0.03657169132,0
11,0.5497165286,0.4989560469,0.4444011115,0.623711786,0.623711786,0.4654907191,0,0.1738654081,0.1738654081,0.1738654081,0.2046894204,0.3198698451,0.09600195424,0.1724787226,0.09438582701,0.905614173,0.09596625792,0.171525526,0.392437982,0.7691138894,0.02054222883,0.04799481295,0.9329552152,0.05695228043,0.5829026759,0.03371160168,0.3465565957,0.804886953,0.6237092034,0.0403810197,0
12,0.5515699956,0.5433909738,0.4911519524,0.6081307024,0.6081379092,0.4641000478,0.1852414212,0.1693986768,0.1693986768,0.1693986768,0.2193438593,0.321213836,0.104877453,0.1742863599,0.1446624543,0.8553375457,0.1048577524,0.1732900988,0.4018452771,0.7600002218,0.05821800148,0.09567189953,0.9301396348,0.02898156495,0.588644149,0.04351398962,0.3457866796,0.8032601606,0.6081254444,0.02528172023,0
13,0.5333078936,0.523689705,0.4740408521,0.6005779847,0.6005779847,0.4671984433,0,0.1715477645,0.1715477645,0.1715477645,0.2129148152,0.3223102497,0.09600195424,0.1688634481,0.1065695196,0.8934304804,0.09595811552,0.167860644,0.3924945162,0.7919096265,0.07416985662,0.06916616596,0.9307632027,0.02448355634,0.6019004897,0.02890167236,0.3513517627,0.7941578525,0.6005775579,0.03546410877,0
14,0.5758286088,0.5698377857,0.5067030663,0.604685856,0.604685856,0.4787666809,0,0.180565505,0.180565505,0.180565505,0.2264347168,0.3238664497,0.1031674945,0.1788807713,0.08963932642,0.9103606736,0.1031804192,0.1779202172,0.3999231135,0.8023909191,0.02119401696,0.02763802322,0.9402516575,0.01194150746,0.609617682,0.01555313267,0.3558919155,0.8197153573,0.6046828999,0.04264642522,0
15,0.5710859137,0.558755822,0.5138205041,0.621773159,0.621773159,0.4720934719,0.2587306408,0.1743289368,0.1743289368,0.1817875353,0.2237874634,0.3255641225,0.1103330348,0.1824207276,0.09907186262,0.9009281374,0.1103131565,0.1798280673,0.4045136926,0.791990661,0.003766824232,0.05338535636,0.9335409105,0.05538189533,0.6177594695,0.02581284871,0.3570029214,0.8154187139,0.6217689576,0.03835374736,0
16,0.5602376799,0.5402858825,0.488909472,0.6065235878,0.6065235878,0.4621960528,0.02945642271,0.183852345,0.183852345,0.183852345,0.2201947622,0.317924595,0.09575767446,0.1761693154,0.06128125283,0.9387187472,0.09575455567,0.1751677852,0.3937269623,0.7520322185,0.05286670075,0.03876165504,0.9420182185,0.00767860873,0.567470422,0.0462912302,0.3420665045,0.8104211346,0.6065240372,0.06294022965,0
