ID,Source Port,Destination Port,NAT Source Port,NAT Destination Port,Bytes,Bytes Sent,Bytes Received,Packets,Elapsed Time (sec),pkts_sent,pkts_received,Action,test,nancount
59276,49418.0,27015.0,54748.0,,78.0,78.0,0.0,1.0,29.0,1.0,0.0,allow,0,1
18986,58120.0,25174.0,,0.0,66.0,66.0,0.0,,0.0,1.0,0.0,deny,0,2
11131,46751.0,53.0,46751.0,53.0,220.0,90.0,130.0,2.0,30.0,,1.0,allow,0,1
57352,52596.0,,0.0,0.0,66.0,66.0,0.0,1.0,,1.0,0.0,drop,0,2
17229,50584.0,6881.0,29773.0,,502.0,150.0,352.0,2.0,1200.0,,1.0,allow,0,2
30199,,80.0,30007.0,80.0,318.0,192.0,,,,,2.0,allow,0,5
23612,7099.0,51505.0,0.0,,62.0,62.0,0.0,1.0,0.0,1.0,0.0,deny,0,1
64974,50472.0,445.0,0.0,0.0,,66.0,0.0,1.0,0.0,,0.0,drop,0,2
41097,56832.0,445.0,0.0,0.0,,70.0,0.0,1.0,0.0,1.0,0.0,drop,0,1
10866,64723.0,445.0,0.0,0.0,70.0,70.0,0.0,1.0,0.0,1.0,0.0,drop,0,0
27815,55450.0,64147.0,0.0,0.0,,,,1.0,0.0,,0.0,deny,0,4
46585,56076.0,443.0,18045.0,443.0,,172.0,1614.0,7.0,120.0,3.0,4.0,allow,0,1
21151,64497.0,53.0,,53.0,232.0,110.0,122.0,2.0,29.0,1.0,,allow,0,2
55728,37902.0,,0.0,0.0,146.0,146.0,0.0,,0.0,1.0,,deny,0,3
27007,58832.0,443.0,,,3862.0,2458.0,1404.0,16.0,15.0,,8.0,allow,0,3
5269,62716.0,23.0,0.0,,60.0,60.0,,1.0,0.0,1.0,,deny,0,3
64569,55160.0,445.0,0.0,0.0,70.0,70.0,0.0,1.0,,1.0,0.0,drop,0,1
28094,56255.0,44847.0,,,,,0.0,1.0,0.0,1.0,0.0,deny,0,4
13018,64267.0,445.0,0.0,0.0,70.0,70.0,0.0,,0.0,,,drop,0,3
44534,54210.0,,0.0,0.0,62.0,,,1.0,0.0,1.0,0.0,deny,0,3
32594,16387.0,8455.0,0.0,,60.0,60.0,,,0.0,1.0,,deny,0,4
10687,50129.0,443.0,27980.0,443.0,29436.0,9695.0,19741.0,54.0,34.0,30.0,24.0,allow,0,0
17030,59005.0,443.0,25143.0,443.0,4921.0,2525.0,2396.0,14.0,135.0,7.0,7.0,allow,0,0
36642,26254.0,,0.0,,,,0.0,1.0,0.0,1.0,0.0,deny,0,4
62280,,445.0,,0.0,70.0,70.0,0.0,1.0,0.0,1.0,0.0,drop,0,2
9301,57004.0,80.0,5611.0,80.0,,140.0,,4.0,30.0,3.0,1.0,allow,0,2
62360,64915.0,443.0,15491.0,443.0,,120303.0,4539301.0,4651.0,,1586.0,3065.0,allow,0,2
57890,55045.0,,38947.0,53.0,,,655.0,2.0,30.0,1.0,1.0,allow,0,3
62963,34155.0,443.0,,443.0,154.0,94.0,,2.0,5.0,1.0,1.0,allow,0,2
56196,52883.0,445.0,,0.0,66.0,,0.0,1.0,0.0,1.0,0.0,drop,0,2
63543,62569.0,44847.0,,0.0,66.0,,0.0,,0.0,1.0,0.0,deny,0,3
9128,26900.0,27017.0,15895.0,27017.0,254.0,82.0,172.0,4.0,30.0,2.0,2.0,allow,0,0
9186,53550.0,445.0,0.0,0.0,70.0,70.0,0.0,1.0,0.0,,0.0,drop,0,1
31992,43176.0,53.0,,53.0,168.0,78.0,90.0,2.0,,,1.0,allow,0,3
60455,,,63186.0,443.0,,11283.0,326444.0,,208.0,126.0,241.0,allow,0,4
25348,,445.0,0.0,0.0,70.0,70.0,0.0,1.0,0.0,1.0,0.0,drop,0,1
22772,64155.0,60043.0,0.0,0.0,66.0,66.0,0.0,1.0,0.0,1.0,0.0,deny,0,0
37226,52045.0,443.0,,443.0,51604.0,4684.0,46920.0,,133.0,28.0,42.0,allow,0,2
58382,50116.0,22.0,50116.0,22.0,60.0,,0.0,1.0,,,0.0,allow,0,3
45744,57300.0,443.0,,443.0,8979.0,3093.0,5886.0,43.0,15.0,24.0,,allow,0,2
30432,59711.0,445.0,0.0,0.0,70.0,,0.0,,0.0,1.0,0.0,drop,0,2
59700,49418.0,,,33098.0,78.0,78.0,0.0,,,1.0,0.0,allow,0,4
21582,,443.0,10906.0,443.0,18848.0,10436.0,8412.0,42.0,33.0,20.0,22.0,allow,0,1
28840,60127.0,445.0,0.0,0.0,70.0,70.0,,,,1.0,0.0,drop,0,3
10500,64937.0,445.0,0.0,0.0,66.0,66.0,,1.0,,1.0,,drop,0,3
54069,55800.0,53.0,53999.0,53.0,,87.0,624.0,2.0,30.0,1.0,1.0,allow,0,1
2956,56039.0,50584.0,0.0,0.0,66.0,66.0,0.0,1.0,0.0,1.0,0.0,deny,0,0
42509,,30975.0,,0.0,157.0,157.0,,1.0,,1.0,0.0,deny,0,4
38675,,53.0,39152.0,53.0,182.0,93.0,89.0,,30.0,1.0,1.0,allow,0,2
11488,56478.0,80.0,51578.0,80.0,73400.0,4542.0,68858.0,87.0,136.0,37.0,50.0,allow,0,0
51857,27005.0,27016.0,44583.0,27016.0,898.0,126.0,772.0,3.0,31.0,2.0,,allow,0,1
15653,50400.0,443.0,40237.0,443.0,316.0,136.0,180.0,6.0,6.0,,3.0,allow,0,1
3962,64283.0,53.0,27743.0,53.0,193.0,102.0,91.0,2.0,30.0,1.0,1.0,allow,0,0
40122,17750.0,25326.0,52113.0,25326.0,491.0,150.0,341.0,2.0,1200.0,1.0,1.0,allow,0,0
35098,49128.0,,0.0,0.0,,157.0,0.0,1.0,0.0,1.0,0.0,deny,0,2
6356,54127.0,445.0,0.0,0.0,70.0,70.0,0.0,,0.0,1.0,0.0,drop,0,1
55005,52717.0,445.0,0.0,0.0,70.0,70.0,,1.0,0.0,1.0,0.0,drop,0,1
61434,50116.0,22.0,50116.0,22.0,184.0,120.0,,4.0,,,1.0,allow,0,3
31615,59694.0,50584.0,,0.0,62.0,62.0,0.0,1.0,0.0,1.0,0.0,deny,0,1
58254,59411.0,,0.0,0.0,62.0,62.0,,,0.0,1.0,0.0,deny,0,3
12097,56036.0,,,,762.0,98.0,664.0,,31.0,1.0,,allow,0,5
35340,443.0,,,0.0,,320.0,0.0,,0.0,1.0,0.0,deny,0,4
30915,,443.0,45538.0,443.0,116577.0,6817.0,109760.0,137.0,62.0,54.0,83.0,allow,0,1
64940,6881.0,,,0.0,,157.0,,,0.0,,0.0,deny,0,6
36802,40600.0,53.0,40600.0,53.0,,90.0,138.0,2.0,30.0,,1.0,allow,0,2
34451,49753.0,80.0,62550.0,80.0,32910.0,18450.0,14460.0,143.0,1647.0,75.0,68.0,allow,0,0
4163,50079.0,,0.0,,66.0,66.0,0.0,1.0,0.0,1.0,0.0,drop,0,2
41535,,445.0,0.0,0.0,70.0,70.0,0.0,,0.0,1.0,0.0,drop,0,2
18670,64679.0,53.0,50625.0,53.0,172.0,88.0,84.0,2.0,31.0,1.0,,allow,0,1
43732,27005.0,27019.0,,27019.0,,126.0,1498.0,4.0,31.0,,2.0,allow,0,3
4587,64957.0,53.0,39699.0,53.0,196.0,,94.0,2.0,30.0,,1.0,allow,0,2
32168,51950.0,17499.0,15514.0,17499.0,70.0,70.0,,2.0,8.0,2.0,0.0,allow,0,1
30805,55820.0,53.0,20613.0,53.0,168.0,86.0,82.0,2.0,30.0,,1.0,allow,0,1
52290,,53.0,25911.0,53.0,232.0,86.0,146.0,2.0,30.0,1.0,,allow,0,2
33051,64383.0,443.0,47790.0,,4017.0,,3039.0,14.0,53.0,8.0,6.0,allow,0,2
29496,55330.0,53.0,61986.0,53.0,194.0,102.0,92.0,2.0,31.0,,1.0,allow,0,1
9644,64847.0,22114.0,0.0,0.0,66.0,66.0,0.0,1.0,0.0,1.0,0.0,deny,0,0
44456,48617.0,443.0,54481.0,443.0,,,,29.0,21.0,,15.0,allow,0,4
17277,56272.0,,13597.0,53.0,193.0,102.0,,2.0,31.0,1.0,1.0,allow,0,2
21063,65376.0,53.0,,53.0,184.0,94.0,90.0,,,1.0,1.0,allow,0,3
297,56815.0,,53722.0,443.0,7903.0,1914.0,5989.0,,15.0,11.0,,allow,0,3
35031,50254.0,53.0,7590.0,53.0,749.0,94.0,,2.0,30.0,1.0,1.0,allow,0,1
18593,62972.0,,0.0,0.0,,66.0,0.0,,0.0,1.0,,drop,0,4
10404,,,0.0,0.0,,70.0,0.0,1.0,0.0,1.0,0.0,drop,0,3
62684,53184.0,443.0,16399.0,443.0,13515.0,3057.0,10458.0,,21.0,20.0,20.0,allow,0,1
3509,49941.0,53.0,58431.0,53.0,193.0,102.0,91.0,2.0,30.0,1.0,1.0,allow,0,0
61668,20650.0,26467.0,0.0,,,,0.0,,0.0,1.0,,deny,0,5
29469,56628.0,,40916.0,80.0,1359.0,435.0,,13.0,30.0,,6.0,allow,0,3
47045,,26467.0,0.0,0.0,66.0,66.0,0.0,1.0,0.0,1.0,0.0,deny,0,1
